Term 1,Term 2,Normalized Human Judgment Mean
הדׁ,Þ״,0.735
הדׁ,הדׁ,1
ßÊַָ,זׁÞֹ,0.746
ַֽ׃זָ,בזֹֽ ַבדÝַÊםֽ,0.762
ַֽ׃זָ,ַבֵהÊׁהÊ,0.758
״ֶַֹׁ,׃םַֹׁ,0.577
Þ״ַׁ,׃םַֹׁ,0.631
וַÊÝ,ַבַÊױַבַÊ,0.75
ÊבÝַׂ,ד׀םַÚ,0.677
ז׃ֶַב ַבֵÚבַד,ד׀םַÚ,0.742
ÚÞַׁ,ֵֿדַה,0.685
־ָׂ,ָֹֿׂ,0.619
״ָםָ,דדׁײ,0.7
ָׁזÝם׃זׁ,ֿßÊזׁ,0.662
״ַבָ,ָׁזÝם׃זׁ,0.681
׀ßֱַ,״ַבָ,0.462
׀ßֱַ,Ûֱַָ,0.581
װׁßֹ,ַבֳזַׁÞ ַבדַבםֹ,0.708
ַבֳזַׁÞ ַבדַבםֹ,ַב׃זÞ,0.808
ַבֳזַׁÞ ַבדַבםֹ,וַÊÝ,0.162
ַבֳזַׁÞ ַבדַבםֹ,ַבÞׁױ ַבדײÛז״,0.131
ַבֳזַׁÞ ַבדַבםֹ,ַבםÛזׁ,0.092
ַבֳזַׁÞ ַבדַבםֹ,ָזםײֹ,0.181
־ױזָֹ,ָזםײֹ,0.669
ַבֳזַׁÞ ַבדַבםֹ,ֽםַֹ,0.092
ßÊַָ,דßÊָֹ,0.746
ָהß,דַב,0.812
דַב,ַב׃םזבֹ,0.915
דבß,ַבßׁהָ,0.023
דבß,דבßֹ,0.858
ַבֳ׃ÞÝ,ַבַֽ־ַד,0.669
ַבÞֿ׃,ַבַֽÊבַב ַבַ׃ֶַׁםבם,0.846
ַבÞֿ׃,Ýב׃״םה,0.765
ַבדÞֿ׃,ַבּה׃,0.162
ַבּדַÚ,ַבּה׃,0.944
דַַֿׁזהַ,ßֹׁ ַבÞֿד,0.862
ßֹׁ ַבÞֿד,בÚָֹ ßֹׁ ַבÞֿד,0.903
ßֹׁ ַבÞֿד,ßֹׁ ַב׃בֹ,0.681
ßֹׁ ַבÞֿד,ַבÊה׃,0.663
םַ׃ׁ ÚׁÝַÊ,׃בַד,0.673
םַ׃ׁ ÚׁÝַÊ,ַׁוַָ,0.765
םַ׃ׁ ÚׁÝַÊ,דַםßב ַּß׃זה,0.25
ַבÞַהזה,דַֽדם,0.838
Ýםבד,דװַוםׁ,0.738
Ýםבד,Ýװַׁ,0.619
Ýםבד,הַÞֿ ׃םהדֶַם,0.673
Ýםבד,ד׃ֽׁ,0.792
ַבÝםׂםֱַ,ָׁזÊזה,0.812
ַבÝםׂםֱַ,ַבßםדםֱַ,0.735
ßֽזב,ַבßםדםֱַ,0.554
Ýזֿßַ,ַָׁהֿם,0.813
ַבװָׁ,׃םַֹׁ,0.304
ַבװָׁ,ֳ׀ה,0.131
ַבװָׁ,ַבֳßב,0.687
׃םַֹׁ,ַבדׁßָֹ,0.894
ּֽׁ ßׁםד,דּזוַׁÊ,0.896
׃ַֽב,װַ״ֶ,0.91
דבֳּ,ד׃ÊװÝל ַבֳדַׁײ ַבהÝ׃םֹ,0.887
Êהזׁ,Ýׁה,0.879
״Úַד,Ýַßוֹ,0.752
״ֶַׁ,ֿםß,0.71
ֳַֹֿ,ÊהÝם׀,0.646
װÞםÞ,ַׁוָ,0.627
ֽׁבֹ,׃םַֹׁ,0.585
ַׁוָ,זֽם,0.5
״Úַד,ֿםß,0.442
׃ַֽב,וײָֹ,0.438
זÊׁ,ַָÊ׃ַדֹ,0.054
ַּּׂ,׃ַֽׁ,0.208
דַב,ֿזבַׁ,0.842
